    0:00.280       70     +    0    0    0	(B
    0:05.152     1288     +    0    0    0	(N
    2:48.612    42153     +    0    0    0	(B
    2:57.384    44346     +    0    0    0	(N
    4:19.692    64923     +    0    0    0	(B
    4:28.768    67192     +    0    0    0	(N
    7:21.612   110403     +    0    0    0	(B
    7:45.612   116403     +    0    0    0	(N
    8:29.612   127403     +    0    0    0	(B
    8:57.152   134288     +    0    0    0	(N
   10:55.152   163788     +    0    0    0	(B
   11:09.460   167365     +    0    0    0	(N
   13:16.460   199115     +    0    0    0	(B
   13:38.076   204519     +    0    0    0	(N
   20:55.460   313865     +    0    0    0	(B
   21:00.460   315115     +    0    0    0	(N
   21:36.076   324019     +    0    0    0	(B
   21:44.460   326115     +    0    0    0	(N
   22:45.460   341365     +    0    0    0	(B
   23:43.768   355942     +    0    0    0	(VT
